symbol,source,interval,period_start,period_end,exit_mode,keep_fixed_tp,confidence,cost_profile,trades,win_rate_net,profit_factor_net,total_net_pnl,final_balance,max_drawdown_pct,avg_trade_net,fees_paid,spread_slippage_cost_estimate,funding_paid,long_trades,short_trades,long_net_pnl,short_net_pnl,tp_count,sl_count,trailing_count,timeout_count,trailing_activated_count,verdict,report_json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.45,zero_cost,5678,40.348714336033815,1.0177310104834032,25.678961599999788,1025.6789615999999,7.142054756220287,0.004522536386051389,0.0,0.0,0.0,3253,2425,9.845396599999852,15.833564999999945,1297,2917,0,1464,0,WEAK,reports_json/btcusdt_full_fixed_conf045_zero_cost.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2024-12-31T23:55:00+00:00,fixed,False,0.45,zero_cost,2799,41.72918899607003,1.1244453589646164,74.98483580000013,1074.9848358000002,1.5015535471599657,0.026789866309396258,0.0,0.0,0.0,1622,1177,40.02903639999992,34.95579940000022,721,1433,0,645,0,PASS_CANDIDATE,reports_json/btcusdt_slice_2024_fixed_conf045_zero_cost.json
BTCUSDT,bybit,5m,2025-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,fixed,False,0.45,zero_cost,2023,39.00148294611962,0.9287880564392839,-45.57700820000015,954.4229917999999,6.772975293435926,-0.02252941581809202,0.0,0.0,0.0,1140,883,-32.76131119999988,-12.815697000000261,388,1032,0,603,0,FAIL,reports_json/btcusdt_slice_2025_fixed_conf045_zero_cost.json
BTCUSDT,bybit,5m,2026-01-01T00:00:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.45,zero_cost,852,38.967136150234744,0.9840007554418299,-3.2797440000002,996.7202559999998,1.469007326030826,-0.003849464788732629,0.0,0.0,0.0,490,362,2.4023713999998155,-5.682115400000018,188,451,0,213,0,FAIL,reports_json/btcusdt_slice_2026_ytd_fixed_conf045_zero_cost.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.45,realistic_taker,5804,34.57960027567195,0.6111413324484085,-759.7259712742206,240.27402872577943,76.41704515187293,-0.13089696265923856,502.17988831129,273.9163041885391,0.0,3318,2486,-440.8479673417924,-318.87800393242816,1242,3111,0,1451,0,FAIL,reports_json/btcusdt_full_fixed_conf045_realistic_taker.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2024-12-31T23:55:00+00:00,fixed,False,0.45,realistic_taker,2845,36.87170474516696,0.6982736383558094,-240.75638620342642,759.2436137965735,25.480053096674332,-0.08462438882369996,207.3100870265242,113.07823645405729,0.0,1642,1203,-138.48758078808686,-102.26880541533957,691,1509,0,645,0,FAIL,reports_json/btcusdt_slice_2024_fixed_conf045_realistic_taker.json
BTCUSDT,bybit,5m,2025-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,fixed,False,0.45,realistic_taker,2085,31.99040767386091,0.5397910717124822,-404.3487226784532,595.6512773215468,40.490172666671924,-0.19393224109278331,224.35397877254906,122.37489232649929,0.0,1171,914,-240.53815103171507,-163.8105716467381,372,1122,0,591,0,FAIL,reports_json/btcusdt_slice_2025_fixed_conf045_realistic_taker.json
BTCUSDT,bybit,5m,2026-01-01T00:00:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.45,realistic_taker,870,33.33333333333333,0.5887104056638598,-113.56086531215632,886.4391346878436,11.356086531215691,-0.13052973024385783,70.10224519508405,38.23758781833046,0.0,504,366,-61.836405555915015,-51.72445975624131,179,479,0,212,0,FAIL,reports_json/btcusdt_slice_2026_ytd_fixed_conf045_realistic_taker.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.45,stress,5938,30.73425395756147,0.47132828479005145,-1185.9598571479892,-185.95985714798917,118.43608809509104,-0.1997237886742993,513.260445805515,699.9006232172671,0.0,3402,2536,-689.5078578553602,-496.4519992926292,1169,3376,0,1393,0,FAIL,reports_json/btcusdt_full_fixed_conf045_stress.json
BTCUSDT,bybit,5m,2024-01-01T00:05:00+00:00,2024-12-31T23:55:00+00:00,fixed,False,0.45,stress,2921,32.7969873331051,0.5274287289672505,-436.74251819426036,563.2574818057396,44.158568875830554,-0.1495181506998495,212.52955090887195,289.8130608666855,0.0,1682,1239,-244.86144943436375,-191.88106875989655,639,1657,0,625,0,FAIL,reports_json/btcusdt_slice_2024_fixed_conf045_stress.json
BTCUSDT,bybit,5m,2025-01-01T00:00:00+00:00,2025-12-31T23:55:00+00:00,fixed,False,0.45,stress,2130,28.591549295774648,0.42566399029574015,-575.4366485440696,424.5633514559304,57.559253765478815,-0.2701580509596571,229.17639038667798,312.51324063548833,0.0,1204,926,-342.0527437989811,-233.3839047450885,362,1201,0,567,0,FAIL,reports_json/btcusdt_slice_2025_fixed_conf045_stress.json
BTCUSDT,bybit,5m,2026-01-01T00:00:00+00:00,2026-04-25T23:55:00+00:00,fixed,False,0.45,stress,883,29.218573046432617,0.45405226595845743,-172.42480176340695,827.575198236593,17.24248017634078,-0.1952715761759988,71.14095044528779,97.01038456701826,0.0,515,368,-102.52253058432653,-69.90227117908042,168,517,0,198,0,FAIL,reports_json/btcusdt_slice_2026_ytd_fixed_conf045_stress.json
